ASN,Name,RPKI,Total,%
AS17832,한국인터넷진흥원,0,72,0.0
AS4766,주식회사 케이티,0,59,0.0
AS1237,한국과학기술정보연구원,0,33,0.0
AS23563,에스케이브로드밴드주식회사,0,16,0.0
AS3559,주식회사 케이티,0,14,0.0
AS9286,주식회사 케이아이엔엑스,0,12,0.0
AS10158,주식회사 카카오,0,12,0.0
AS23600,한국인터넷진흥원,0,6,0.0
AS9318,에스케이브로드밴드주식회사,0,5,0.0
AS6619,삼성에스디에스(주),0,5,0.0
AS23596,한국인터넷진흥원,0,5,0.0
AS9764,주식회사 카카오,0,5,0.0
AS9858,한국인터넷진흥원,0,5,0.0
AS9321,한양대학교,0,4,0.0
AS23576,네이버클라우드 주식회사,0,4,0.0
AS3786,(주)엘지유플러스,0,3,0.0
AS23599,한국인터넷진흥원,0,3,0.0
AS45991,주식회사 카카오,0,3,0.0
AS9644,에스케이텔레콤(주),0,2,0.0
AS7625,주식회사 카카오,0,2,0.0
AS9700,한국인터넷진흥원,0,2,0.0
AS38678,주식회사 카카오,0,2,0.0
AS9848,세종네트웍스 주식회사,0,2,0.0
AS131100,한국인터넷진흥원,0,2,0.0
AS152213,모그소프트 유한회사,1,2,0.5
AS9957,주식회사 케이아이엔엑스,0,1,0.0
AS10036,주식회사 딜라이브,0,1,0.0
AS10197,전남대학교,0,1,0.0
AS9316,(주)엘지유플러스,0,1,0.0
AS17853,(주)엘지유플러스,0,1,0.0
AS38091,주식회사 엘지헬로비전,0,1,0.0
AS45365,주식회사 엘지헬로비전,0,1,0.0
AS38099,주식회사 카카오,0,1,0.0
AS45370,브로드밴드아이디씨,0,1,0.0
AS9639,주식회사 아티스트컴퍼니,0,1,0.0
AS18340,(주)에스비코리아,0,1,0.0
AS131812,주식회사 휴맥스네트웍스,0,1,0.0
AS18160,주식회사 카카오,0,1,0.0
